name,address,street_address,city,state,zip_code,full_address,source,import_date,import_time
,"8340 Acuff Ln, Lenexa, KS 66215\",8340 Acuff Ln,Lenexa,KS,66215,"8340 Acuff Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8341 Acuff Ln\,8341 Acuff Ln\,,,,8341 Acuff Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8534 Alden Ln, Lenexa, KS 66215\",8534 Alden Ln,Lenexa,KS,66215,"8534 Alden Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14225 W 84th Terrace, Lenexa, KS 66215\",14225 W 84th Terrace,Lenexa,KS,66215,"14225 W 84th Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14622 W 86th St, Lenexa, KS 66215\",14622 W 86th St,Lenexa,KS,66215,"14622 W 86th St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8341 Hallet St\,8341 Hallet St\,,,,8341 Hallet St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14606 W 86th St\,14606 W 86th St\,,,,14606 W 86th St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8361 Acuff Ln\,8361 Acuff Ln\,,,,8361 Acuff Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8356 Hallet St\,8356 Hallet St\,,,,8356 Hallet St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8605 Greenwood Ln, Lenexa, KS 66215\",8605 Greenwood Ln,Lenexa,KS,66215,"8605 Greenwood Ln, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8420 Greenwood Cir\,8420 Greenwood Cir\,,,,8420 Greenwood Cir\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8501 Dice Ln\,8501 Dice Ln\,,,,8501 Dice Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8357 Acuff Ln\,8357 Acuff Ln\,,,,8357 Acuff Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8504 Hallet St, Lenexa, KS 66215\",8504 Hallet St,Lenexa,KS,66215,"8504 Hallet St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8413 Greenwood Cir, Lenexa, KS 66215\",8413 Greenwood Cir,Lenexa,KS,66215,"8413 Greenwood Cir, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14818 W 84th Terrace, Lenexa, KS 66215\",14818 W 84th Terrace,Lenexa,KS,66215,"14818 W 84th Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
